Title	Shelf	Rack Order	Position	Cover	Omni Bus	First Author First Name	First Author Last Name	Second Author First Name	Second Author Last Name	Third Author First Name	Third Author Last Name	Fourth Author First Name	Fourth Author Last Name
She Turned I Saw Her Turning	1	5	1	-1		Mushtaq	Ahmad	Nabi	Nazeer				
Claudia's Shadow	1	5	2	3770392		Charlotte Vale	Allen						
A Twist In The Tale	1	5	3	11278832	Y	Jeffrey	Archer						
As The Crow Flies	1	5	4	10526233	Y	Jeffrey	Archer						
Love Chemistry and Those Little Reactions	1	5	5	-1		Shubham	Arora						
A Biography 	1	5	6	9278312		Jane	Austen						
Sense and Sensibility	1	5	7	-1		Jane	Austen						
The Messenger & The Message	1	1	20	-1		Mirza Yawar	Baig						
One Good Deed	1	5	8	8745609		David	Baldacci						
Walk The Wire	1	5	9	9330288		David	Baldacci						
Quantico	1	5	10	9641		Greg	Bear						
400 Days	1	5	11	12239364		Chetan	Bhagat						
Half Girlfriend	1	5	12	8783246		Chetan	Bhagat						
One Arranged Murder	1	5	13	10504047		Chetan	Bhagat						
One Indian Girl	1	5	14	10117751		Chetan	Bhagat						
One Night at the Call Center	1	5	15	212576		Chetan	Bhagat						
The 3 Mistakes of My Life	1	5	16	7434198		Chetan	Bhagat						
The Girl In Room 105	1	5	17	9637345		Chetan	Bhagat						
Good As Dead	1	5	18	10195084		Mark	Billingham						
How To Be Successful At Job Interview	1	7	1	-1		P S	Bindra						
Fall Down Dead	1	5	19	10125674		Stephen	Booth						
The Hell of it All	1	5	20	-1		Charlie	Brooker						
Angels and Demons	1	5	21	11408459		Dan	Brown						
Deception Point	1	5	22	14553479		Dan	Brown						
Digital Fortress	1	5	23	8396115		Dan	Brown						
Inferno	1	5	24	9322673		Dan	Brown						
Origin	1	5	25	11013590		Dan	Brown						
The Da Vinci Code	1	5	26	9255229		Dan	Brown						
The Lost Symbol	1	5	27	8373389		Dan	Brown						
Chicken Soup for The Indian Soul : Indian College Students	1	5	28	10722227		Jack	Canfield	Mark Victor	Hansen	Aarti	Jain	Rajat	Poddar
Chicken Soup for The Indian Soul : On Friendship	1	5	29	-1		Jack	Canfield	Mark Victor	Hansen	Aarti Katoch	Pathak		
Chicken Soup for The Indian Soul : Teens Talk Growing up	1	5	30	-1		Jack	Canfield	Mark Victor	Hansen	Aarti Katoch	Pathak		
How to Enjoy Your Life And Your Job	1	7	2	13512491		Dale	Carnegie						
Alice In Wonderland	1	5	31	13828715		Lewis	Carroll						
Alice In Wonderland : Illustrated	1	5	32	10527843		Lewis	Carroll						
Zero Percentile : Missed IIT kissed Russia	1	5	33	-1		Neeraj	Chhibba						
Braking News	1	5	34	-1		Sunetra	Choudhary						
And Then There Were None	1	4	1	11172296		Agatha	Christie						
Hercule Poirot : Over 50 Stories	1	4	2	12996422		Agatha	Christie						
The Adventures of the Christmas Pudding	1	4	3	12855353		Agatha	Christie						
The Unexpected Guest	1	4	4	12858480		Agatha	Christie						
The Sword of the Templars	1	4	5	6672363		Paul	Christopher						
Atomic Habits	1	7	3	12539702		James	Clear						
Cold Earth	1	4	6	8836521		Ann	Cleeves						
The Sleeping And The Dead	1	4	7	2127547		Ann	Cleeves						
Wild Fire	1	4	8	8843390		Ann	Cleeves						
The Boy From The woods	1	4	9	9306426		Harlan	Coben						
Magical Worlds Of Harry Potter 	1	4	10	15150200		David	Colbert						
The Hunger Games	1	4	11	12646537		Suzanne	Collins						
The Hunger Games : Catching Fire	1	4	12	12646539		Suzanne	Collins						
The Hunger Games : Mockingjay	1	4	13	6304853		Suzanne	Collins						
The Crossing	1	4	14	184094		Michael	Connelly						
The Late Show	1	4	15	10166964		Michael	Connelly						
Legacy of Love : Maiden Court	1	4	16	10604874		Laura	Cassidy						
How to Train Your Dragon	1	4	17	190086		Cressida	Cowell						
30 Days To A Sexier You	1	4	18	2086321		Paula Peisner	Coxe	Jessica	Daniels				
Blue Bloods	1	4	19	544947		Melissa De La	Cruz						
The Cutthroat	1	4	20	8840485		Clive	Cussler	Justin	Scott				
The Spy	1	4	21	6961692		Clive	Cussler	Justin	Scott				
Sweet Promise	1	4	22	6610123		Janet	Dailey						
City Of Sinners	1	4	23	-1		A. A.	Dhand						
Scrooge	1	7	4	13299222		Charles	Dickens						
The Adventures and Memoirs of Sherlock Holmes	1	4	24	9246429		Arthur Conan	Doyle						
The Hound Of the Baskervilles	1	4	25	8063264		Arthur Conan	Doyle						
The Read Headed League  : Sherlock Holmes 	1	4	26	6717853		Arthur Conan	Doyle						
Anna Hazare : The Gandhi of 21st Century	1	7	5	-1		Sanjay	Dutta						
The Gates of Creation	1	4	27	-1		Philip Jose	Farmer						
610 Golder Tips to Better Play Chess	1	7	6	-1		Bobby	Ficsher						
The People on Privilege Hill	1	4	28	2549777		Jane	Gardam						
A Short Story of The World in 50 Failures	1	4	29	-1		Ben	Gazur						
A Tear And A Smile	1	4	30	12588989		Kahlil	Gibran						
Between Night And Morn	1	4	31	4893219		Kahlil	Gibran						
Nymphs Of The Valley	1	4	32	6639667		Kahlil	Gibran						
"Sand And Foam, The Forerunner"	1	4	33	-1	Y	Kahlil	Gibran						
Secrets of the Heart	1	4	34	-1		Kahlil	Gibran						
"Spirits Rebellious, The Madman, The Forerunner"	1	7	7	-1	Y	Kahlil	Gibran						
"The Madman, The Earth Gods"	1	4	35	-1	Y	Kahlil	Gibran						
The Prophet	1	4	36	418324		Kahlil	Gibran						
Acts Of God	1	4	42	-1		Kannan	Gill						
Rogue Lawyer	1	4	37	9323460		John	Grisham						
